Genres,Type,Source,Studios,Rating,Episodes
"action, fantasy, horror, romance",ova,manga,toei animation,r - 17+ (violence & profanity),4.0
"action, adventure, comedy, mystery",tv,manga,magic bus,pg-13 - teens 13 or older,13.0
"adventure, drama, sci-fi",tv,novel,nippon animation,pg-13 - teens 13 or older,26.0
"comedy, supernatural",tv,4-koma manga,olm,g - all ages,48.0
"comedy, romance, supernatural",movie,original,aic,pg-13 - teens 13 or older,1.0
"action, comedy",ova,manga,pierrot,r+ - mild nudity,4.0
"award winning, comedy, fantasy, ecchi",tv,original,"gainax, madhouse",r+ - mild nudity,13.0
"comedy, fantasy",tv,original,tatsunoko production,pg - children,39.0
"drama, fantasy, mystery, sci-fi",tv,original,ajia-do,pg-13 - teens 13 or older,26.0
comedy,tv,original,radix,pg-13 - teens 13 or older,13.0
"comedy, supernatural",tv,picture book,pierrot,g - all ages,50.0
"drama, romance, sports",tv,manga,tokyo movie shinsha,pg-13 - teens 13 or older,26.0
"drama, sports",ova,manga,tokyo movie shinsha,pg-13 - teens 13 or older,12.0
"drama, romance, sports",movie,unknown,tokyo movie shinsha,pg-13 - teens 13 or older,1.0
"drama, sports",ova,manga,"tms entertainment, annapuru",pg-13 - teens 13 or older,13.0
"action, drama, fantasy, romance",movie,unknown,triangle staff,pg - children,1.0
"comedy, girls love, hentai",ova,manga,aic,rx - hentai,3.0
"action, fantasy",movie,game,square enix visual works,pg-13 - teens 13 or older,1.0
"comedy, romance, sci-fi, ecchi",tv,original,tnk,pg-13 - teens 13 or older,10.0
"comedy, fantasy, romance, ecchi",ova,manga,zexcs,pg-13 - teens 13 or older,3.0
"action, drama, hentai",ova,original,arms,rx - hentai,2.0
"action, comedy, sci-fi, ecchi",tv,original,studio fantasia,r+ - mild nudity,12.0
"drama, romance",tv,manga,madhouse,r - 17+ (violence & profanity),12.0
"avant garde, drama, mystery, supernatural, suspense",tv,original,madhouse,r+ - mild nudity,13.0
"comedy, sci-fi",tv,original,sunrise,pg-13 - teens 13 or older,47.0
"drama, romance",tv,manga,studio comet,pg-13 - teens 13 or older,25.0
"horror, mystery, supernatural",tv,manga,madhouse,r - 17+ (violence & profanity),4.0
"comedy, fantasy",tv,original,"gainax, aic",g - all ages,26.0
"drama, romance, slice of life",tv,original,olm,g - all ages,10.0
"award winning, drama, romance, sci-fi",tv,manga,sunrise,pg-13 - teens 13 or older,26.0
"comedy, drama, romance, ecchi",tv,manga,pierrot,r+ - mild nudity,13.0
"adventure, comedy, fantasy",tv,manga,nippon animation,g - all ages,45.0
"adventure, comedy, fantasy",tv,manga,nippon animation,g - all ages,38.0
"award winning, comedy, drama, sci-fi",tv,original,sunrise,pg - children,51.0
"comedy, drama, romance",tv,manga,toei animation,pg-13 - teens 13 or older,76.0
"comedy, mystery, supernatural",tv,manga,studio deen,pg-13 - teens 13 or older,26.0
fantasy,tv,visual novel,bee train,pg-13 - teens 13 or older,13.0
"comedy, romance, supernatural",tv,manga,e&g films,pg-13 - teens 13 or older,24.0
"drama, romance",tv,manga,tokyo movie shinsha,pg-13 - teens 13 or older,40.0
"avant garde, award winning, drama, mystery, sci-fi, supernatural",tv,original,triangle staff,r - 17+ (violence & profanity),13.0
action,tv,manga,studio comet,pg-13 - teens 13 or older,26.0
"drama, mystery",tv,manga,j.c.staff,pg-13 - teens 13 or older,25.0
"drama, sci-fi",tv,light novel,j.c.staff,pg-13 - teens 13 or older,13.0
